,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths,song_length,tempo,time_signature,key,mode,valence,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness
597,Raise Up The Flag,권진아,2023.03.02,록/메탈,64,"5,269",2,"69,931",55,3.739333333,181.741,4,0,0,0.373,0.427,0.59,-5.088,0.0562,0.26,0.0,0.118
598,바래,FTISLAND (FT아일랜드),2009.07.16,록/메탈,72,"28,367",2,"24,669",60,4.077583333,142.001,4,0,1,0.664,0.609,0.949,-4.172,0.0425,0.000195,3.16e-06,0.0988
599,금지된 사랑,김경호,1997.06.06,록/메탈,70,"31,508",0,"12,324",31,5.102583333,136.87,4,5,1,0.132,0.379,0.521,-10.313,0.0392,0.188,0.000115,0.978
600,아모르 파티,이홍기 (FT아일랜드),2023.03.22,성인가요/트로트,114,"7,742",0,"11,126",45,3.499116667,134.839,4,6,0,0.821,0.626,0.845,-1.464,0.0317,0.0736,0.0,0.09
601,이제 나만 믿어요,임영웅,2020.04.03,성인가요/트로트,"5,994","165,925",0,"128,989",35,4.04645,189.142,3,11,1,0.26,0.273,0.494,-3.58,0.0344,0.642,0.0,0.0996
602,보금자리,임영웅,2022.05.02,성인가요/트로트,395,"44,797",0,"128,989",24,2.871333333,145.999,4,2,0,0.764,0.643,0.841,-3.834,0.0665,0.0133,1.39e-06,0.312
603,풍등,이찬원,2023.02.20,성인가요/트로트,196,"12,205",3,"28,418",29,4.14045,66.752,3,1,1,0.209,0.317,0.531,-4.897,0.0364,0.584,0.0,0.18
604,그대 내 친구여,안성훈,2023.03.17,성인가요/트로트,34,"1,963",0,"2,184",25,3.7772,139.975,4,9,1,0.128,0.456,0.321,-9.796,0.0288,0.211,0.935,0.213
605,백년의 약속,황영웅,2023.03.22,성인가요/트로트,363,"4,540",0,"3,396",33,3.732,137.227,4,0,1,0.555,0.645,0.484,-10.64,0.0289,0.95,0.0131,0.493
606,별빛 같은 나의 사랑아,임영웅,2021.03.09,성인가요/트로트,"3,253","76,511",2,"128,989",23,3.846883333,73.908,4,6,1,0.258,0.212,0.513,-7.434,0.0341,0.425,3.56e-05,0.159
607,깜빡이를 키고 오세요,박지현,2023.03.10,성인가요/트로트,152,"2,974",0,"1,726",34,3.35155,98.961,4,4,0,0.81,0.605,0.697,-3.049,0.0561,0.417,0.0,0.0768
608,찐이야,영탁,2020.03.13,성인가요/트로트,"4,009","67,032",0,"35,894",29,3.199116667,154.009,4,2,1,0.713,0.609,0.911,-2.403,0.0907,0.0634,0.0,0.338
609,시절인연 (時節因緣),이찬원,2020.05.28,"성인가요/트로트, 국내드라마",839,"29,869",1,"28,418",27,4.404666667,75.894,4,2,1,0.11,0.392,0.467,-5.539,0.0314,0.541,3.43e-06,0.161
